species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;uk_ssp245_10_2090;1;0.325;0.6625;0.6238654166666667;0.42839083333333333
clssm_mcrp;uk_ssp245_10_2090;0.925;0.375;0.65;0.5971927083333334;0.41059854166666665
clssm_mcrp;uk_ssp245_10_2090;1;0.4;0.7;0.6441516666666667;0.44284833333333334
clssm_mcrp;uk_ssp245_10_2090;1;0.375;0.6875;0.6373895833333334;0.43802916666666664
clssm_mcrp;uk_ssp245_10_2090;1;0.325;0.6625;0.6238654166666667;0.42839083333333333
clssm_mcrp;uk_ssp245_10_2090;1;0.3;0.65;0.6171033333333332;0.4235716666666667
clssm_mcrp;uk_ssp245_10_2090;1;0.2;0.6;0.590055;0.404295
clssm_mcrp;uk_ssp245_10_2090;1;0.225;0.6125;0.5968170833333333;0.40911416666666667
clssm_mcrp;uk_ssp245_10_2090;0.45;0.075;0.2625;0.2614675;0.17904125
clssm_mcrp;uk_ssp245_10_2090;1;0.125;0.5625;0.56976875;0.38983750000000006
clssm_mcrp;uk_ssp245_10_2090;1;0.075;0.5375;0.5562445833333333;0.3801991666666667
clssm_mcrp;uk_ssp245_10_2090;1;0.125;0.5625;0.56976875;0.38983750000000006
clssm_mcrp;uk_ssp245_10_2090;0.725;0.075;0.39999999999999997;0.40885604166666667;0.2796202083333333
clssm_mcrp;uk_ssp245_10_2090;1;0.075;0.5375;0.5562445833333333;0.3801991666666667
clssm_mcrp;uk_ssp245_10_2090;1;0.075;0.5375;0.5562445833333333;0.3801991666666667
